,0
0,Stamina
1,is
2,the
3,energy
4,you
5,use
6,to
7,perform
8,various
9,actions
10,such
11,as
12,roll
13,or
14,so
15,stamina
16,is
17,an
18,extremely
19,important
20,element
21,of
22,Stamina
23,regenerates
24,when
25,you
26,stop
27,using
28,these
29,That
30,makes
31,escaping
32,and
33,regaining
34,a
35,very
36,important
37,part
38,of
39,the
40,combat
41,If
42,you
43,have
44,your
45,shield
46,raised
47,to
48,your
49,stamina
50,is
51,regenerated
52,So
53,keep
54,your
55,shield
56,down
57,when
58,safe
59,to
60,do
61,When
62,you
63,run
64,out
65,of
66,you
67,use
68,the
69,actions
70,listed
71,above
72,plus
73,you
74,switch
75,weapons
76,though
77,it
78,normally
79,cost
80,stamina
81,to
82,do
83,It
84,is
85,also
86,possible
87,to
88,temporarily
89,have
90,negative
91,stamina
92,if
93,you
94,activate
95,a
96,high
97,stamina
98,cost
99,action
100,when
101,you
102,only
103,have
104,a
105,little
106,stamina
107,This
108,will
109,make
110,your
111,stamina
112,bar
113,stay
114,at
115,zero
116,for
117,and
118,leave
119,you
120,Keep
121,your
122,eye
123,on
124,the
125,stamina
126,bar
127,in
128,the
129,right
130,controller
131,stick
132,on
133,either
134,the
135,XBox
136,or
137,will
138,lock
139,to
140,your
141,nearest
142,enemy
143,provided
144,they
145,are
146,within
147,If
148,there
149,are
150,multiple
151,you
152,can
153,switch
154,your
155,target
156,by
157,moving
158,the
159,right
160,stick
161,left
162,or
163,right
164,after
165,you
166,are
167,locked
168,Locking
169,on
170,makes
171,it
172,easier
173,for
174,you
175,to
176,hit
177,your
178,desired
179,Locking
180,on
181,also
182,locks
183,your
184,movement
185,towards
186,your
187,target
188,and
189,makes
190,it
191,harder
192,to
193,be
194,aware
195,of
196,your
197,surroundings
198,while
199,so
200,be
201,aware
202,when
203,you
204,The
205,key
206,is
207,to
208,know
209,when
210,to
211,switch
212,to
213,and
214,strikes
215,are
216,attacks
217,which
218,deal
219,much
220,higher
221,damage
222,based
223,on
224,your
225,equipped
226,critical
227,The
228,higher
229,the
230,the
231,more
232,damage
233,will
234,be
235,done
236,upon
237,a
238,critical
239,strike
240,Dagger
241,weapons
242,all
243,have
244,higher
245,critical
246,modifiers
247,then
248,all
249,other
250,Critical
251,strikes
252,are
253,backstabs
254,and
255,an
256,enemy
257,from
258,their
259,back
260,at
261,close
262,range
263,will
264,lead
265,to
266,a
267,powerful
268,backstab
269,Backstab
270,attacks
271,deal
272,a
273,huge
274,amount
275,of
276,so
277,always
278,worth
279,trying
280,to
281,The
282,attack
283,animation
284,lasts
285,for
286,a
287,short
288,but
289,invincible
290,while
291,in
292,the
293,Most
294,enemies
295,can
296,be
297,usually
298,humanoid
299,type
300,Some
301,unique
302,enemies
303,like
304,the
305,Fang
306,Boar
307,in
308,Undead
309,Parish
310,cannot
311,be
312,you
313,are
314,using
315,a
316,light
317,or
318,medium
319,shield
320,certain
321,types
322,of
323,weapon
324,equipped
325,in
326,the
327,left
328,you
329,can
330,parry
331,incoming
332,melee
333,attacks
334,by
335,pressing
336,or
337,the
338,Left
339,Trigger
340,Xbox
341,right
342,as
343,a
344,blow
345,is
346,about
347,to
348,land
349,and
350,hit
351,Most
352,heavier
353,shields
354,will
355,not
356,permit
357,you
358,to
359,parry
360,and
361,instead
362,will
363,activate
364,a
365,shield
366,so
