,strings,mashing
0,Stamina,0
1,is,0
2,the,0
3,energy,0
4,you,0
5,use,0
6,to,0
7,perform,0
8,various,0
9,actions,0
10,such,0
11,as,0
12,roll,0
13,or,0
14,so,0
15,stamina,0
16,is,0
17,an,0
18,extremely,0
19,important,0
20,element,0
21,of,0
22,Stamina,0
23,regenerates,0
24,when,0
25,you,0
26,stop,0
27,using,0
28,these,0
29,That,0
30,makes,0
31,escaping,0
32,and,0
33,regaining,0
34,a,0
35,very,0
36,important,0
37,part,0
38,of,0
39,the,0
40,combat,0
41,If,0
42,you,0
43,have,0
44,your,0
45,shield,0
46,raised,0
47,to,0
48,your,0
49,stamina,0
50,is,0
51,regenerated,0
52,So,0
53,keep,0
54,your,0
55,shield,0
56,down,0
57,when,0
58,safe,0
59,to,0
60,do,0
61,When,0
62,you,0
63,run,0
64,out,0
65,of,0
66,you,0
67,use,0
68,the,0
69,actions,0
70,listed,0
71,above,0
72,plus,0
73,you,0
74,switch,0
75,weapons,0
76,though,0
77,it,0
78,normally,0
79,cost,0
80,stamina,0
81,to,0
82,do,0
83,It,0
84,is,0
85,also,0
86,possible,0
87,to,0
88,temporarily,0
89,have,0
90,negative,0
91,stamina,0
92,if,0
93,you,0
94,activate,0
95,a,0
96,high,0
97,stamina,0
98,cost,0
99,action,0
100,when,0
101,you,0
102,only,0
103,have,0
104,a,0
105,little,0
106,stamina,0
107,This,0
108,will,0
109,make,0
110,your,0
111,stamina,0
112,bar,0
113,stay,0
114,at,0
115,zero,0
116,for,0
117,and,0
118,leave,0
119,you,0
120,Keep,0
121,your,0
122,eye,0
123,on,0
124,the,0
125,stamina,0
126,bar,0
127,in,0
128,the,0
129,right,0
130,controller,0
131,stick,0
132,on,0
133,either,0
134,the,0
135,XBox,0
136,or,0
137,will,0
138,lock,0
139,to,0
140,your,0
141,nearest,0
142,enemy,0
143,provided,0
144,they,0
145,are,0
146,within,0
147,If,0
148,there,0
149,are,0
150,multiple,0
151,you,0
152,can,0
153,switch,0
154,your,0
155,target,0
156,by,0
157,moving,0
158,the,0
159,right,0
160,stick,0
161,left,0
162,or,0
163,right,0
164,after,0
165,you,0
166,are,0
167,locked,0
168,Locking,0
169,on,0
170,makes,0
171,it,0
172,easier,0
173,for,0
174,you,0
175,to,0
176,hit,0
177,your,0
178,desired,0
179,Locking,0
180,on,0
181,also,0
182,locks,0
183,your,0
184,movement,0
185,towards,0
186,your,0
187,target,0
188,and,0
189,makes,0
190,it,0
191,harder,0
192,to,0
193,be,0
194,aware,0
195,of,0
196,your,0
197,surroundings,0
198,while,0
199,so,0
200,be,0
201,aware,0
202,when,0
203,you,0
204,The,0
205,key,0
206,is,0
207,to,0
208,know,0
209,when,0
210,to,0
211,switch,0
212,to,0
213,and,0
214,strikes,0
215,are,0
216,attacks,0
217,which,0
218,deal,0
219,much,0
220,higher,0
221,damage,0
222,based,0
223,on,0
224,your,0
